pickup_datetime,dropoff_datetime,trip_distance,tip_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,Distance
2021-07-26 06:45:00,2021-07-26 06:51:29,1.7,2.7,-73.97659767323343,40.73182063601676,-73.9723559435203,40.75668765218883,2.7880808590501873
2021-07-19 16:13:46,2021-07-19 16:31:05,3.1,3.0,-73.96176359682917,40.809456961125264,-73.95701169835739,40.78043643718997,3.2516339147938322
2021-07-13 19:51:27,2021-07-13 19:57:49,1.72,0.7,-73.96563453538072,40.76861518381155,-73.97304890061595,40.79170493442709,2.6422711045872163
2021-07-15 06:36:12,2021-07-15 06:56:26,5.32,4.13,-73.97304890061595,40.79170493442709,-73.93482888929138,40.754242520500306,5.264108500072514
2021-07-04 11:47:52,2021-07-04 11:52:44,0.8,1.0,-73.96547951516968,40.80197049389964,-73.97304890061595,40.79170493442709,1.3072740422014504
2021-07-21 09:31:23,2021-07-21 09:39:47,1.06,2.06,-74.00287495910834,40.73457600733175,-73.99045782354732,40.74033744175701,1.2267534739971142
2021-07-14 18:34:09,2021-07-14 18:44:12,1.45,1.48,-73.99697141558364,40.74227862901228,-73.9841964890757,40.75981761719185,2.227436388236348
2021-07-16 12:09:10,2021-07-16 12:30:57,3.84,0.0,-73.9596347414917,40.76694821638323,-73.98593745682462,40.727620195909545,4.902387081476549
2021-07-06 05:19:48,2021-07-06 05:28:55,1.78,0.0,-73.98878659911529,40.75351275872571,-73.98405213268919,40.73682405761897,1.898077486328493
2021-07-09 19:26:35,2021-07-09 19:32:47,0.81,2.06,-73.9596347414917,40.76694821638323,-73.96514579918421,40.75672894163307,1.2274724483810922
2021-07-26 12:38:43,2021-07-26 12:54:57,1.43,0.0,-73.98153220639179,40.77363329302709,-73.97769793122406,40.75802804352625,1.7650146558026354
2021-07-09 16:34:35,2021-07-09 17:10:29,10.0,9.0,-73.87362864289112,40.77437570593249,-73.97756868222716,40.764421405786784,8.822788271928575
2021-07-12 13:14:37,2021-07-12 13:54:52,19.62,5.0,-73.78653298334973,40.64698489239515,-73.95701169835739,40.78043643718997,20.65559930275135
2021-07-26 14:31:02,2021-07-26 15:16:18,10.63,0.0,-73.87362864289112,40.77437570593249,-74.01302277174902,40.70913894067186,13.803396803217456
2021-07-25 14:17:17,2021-07-25 14:57:55,15.2,8.75,-73.87362864289112,40.77437570593249,,,
2021-07-12 21:58:54,2021-07-12 22:41:28,20.8,15.1,-73.78653298334973,40.64698489239515,-73.96816833309238,40.79796199310004,22.718524293802126
2021-07-04 17:43:45,2021-07-04 18:05:24,5.05,4.95,-73.99089626184735,40.71893835938027,-73.98153220639179,40.77363329302709,6.132744986570799
2021-07-05 14:32:10,2021-07-05 14:43:56,2.45,2.0,-73.99243753697608,40.748497181405,-74.00153756565634,40.72388811004171,2.8417896535809484
2021-07-30 11:56:37,2021-07-30 12:03:14,1.24,1.96,-73.96816833309238,40.79796199310004,-73.97863194845081,40.783961430313774,1.7887306143778625
2021-07-17 14:56:46,2021-07-17 15:11:06,2.79,3.06,-73.96563453538072,40.76861518381155,-73.99513522075517,40.76623772504186,2.498434647828969
2021-07-23 10:11:42,2021-07-23 10:21:46,1.93,2.46,-73.98153220639179,40.77363329302709,-73.97304890061595,40.79170493442709,2.132640816475346
2021-07-20 13:32:09,2021-07-20 13:49:53,2.68,3.26,-73.97769793122406,40.75802804352625,-74.00287495910834,40.73457600733175,3.3613744983961023
2021-07-01 13:40:42,2021-07-01 13:50:01,1.3,2.25,-73.9841964890757,40.75981761719185,-73.99991742024712,40.74842755506572,1.8323734339334141
2021-07-09 10:54:14,2021-07-09 10:57:45,1.01,1.66,-73.9596347414917,40.76694821638323,-73.951009874818,40.77876585543437,1.501415855552225
2021-07-30 18:26:12,2021-07-30 18:30:26,1.01,1.2,-73.99513522075517,40.76623772504186,-73.98153220639179,40.77363329302709,1.4101481759130505
2021-07-13 16:57:18,2021-07-13 17:02:53,0.96,0.0,-73.99045782354732,40.74033744175701,-73.99243753697608,40.748497181405,0.9225226865103209
2021-07-17 17:07:52,2021-07-17 17:16:58,1.0,0.0,-73.98593745682462,40.727620195909545,-73.99738026020042,40.72834039137229,0.9675507404741933
2021-07-16 15:13:46,2021-07-16 15:16:53,0.4,1.1,-74.00787970866403,40.717772736265175,-74.00787970866403,40.717772736265175,0.0
2021-07-16 07:41:29,2021-07-16 07:54:19,2.7,2.95,-73.96563453538072,40.76861518381155,-73.99697141558364,40.74227862901228,3.942477562897521
2021-07-14 20:33:12,2021-07-14 20:45:53,2.04,0.0,-73.95701169835739,40.78043643718997,-73.96514579918421,40.75672894163307,2.723698605657003
2021-07-26 14:37:24,2021-07-26 14:48:04,2.3,0.0,-73.99738026020042,40.72834039137229,-73.98878659911529,40.75351275872571,2.8911602226437654
2021-07-28 20:49:34,2021-07-28 21:00:17,2.22,2.66,-73.99991742024712,40.74842755506572,-73.98764554944388,40.775965228760995,3.231778973945089
2021-07-21 17:15:34,2021-07-21 17:28:08,1.74,2.0,-73.97756868222716,40.764421405786784,-73.99045782354732,40.74033744175701,2.889727590819605
